Stock Name,Symbol,Lot Size,Sector Name,Industry Name,MCap Category,Close,Chg %,Cumulative Future OI,OI Chg %,Volume (Times),Delivery (Times),Cumulative Call OI,Cumulative Put OI,Put Call Ratio (PCR),PCR Change 1D,OI Trend,Symbol with Comma for External Upload,%DlyQttoTradedQty,Date,Rollover
Mphasis Ltd.,MPHASIS,275.0,Information Technology,IT - Software,Mid Cap,2569.45,2.53,5072925.0,-2.38,1.05,1.26,1406075.0,964975.0,0.69,0.09,AggressiveShortCover,"MPHASIS,",58.87,2024-07-03,0.0325
Tata Consultancy Services Ltd.,TCS,175.0,Information Technology,IT - Software,Large Cap,3965.25,-1.3,18282075.0,2.27,0.66,0.69,6341125.0,4239025.0,0.67,-0.04,NewShort,"TCS,",59.45,2024-07-03,0.0174
Jubilant FoodWorks Ltd.,JUBLFOOD,1250.0,Fast Moving Consumer Goods,Consumer Food,Mid Cap,570.3,-0.84,21986250.0,2.25,0.38,0.24,5283750.0,3427500.0,0.65,0.0,NewShort,"JUBLFOOD,",34.21,2024-07-03,0.0524
Petronet LNG Ltd.,PETRONET,3000.0,Industrials Gases & Fuels,Industrial  Gases & Fuels,Mid Cap,333.95,-0.7,34275000.0,2.18,0.61,0.52,13092000.0,11103000.0,0.85,-0.02,NewShort,"PETRONET,",36.4,2024-07-03,0.0496
Shree Cement Ltd.,SHREECEM,25.0,Construction Materials,Cement & Construction Materials,Large Cap,27383.9,-1.13,292475.0,2.17,1.41,2.12,52425.0,14900.0,0.28,-0.03,AggressiveNewShort,"SHREECEM,",74.29,2024-07-03,0.0068000000000000005
Apollo Tyres Ltd.,APOLLOTYRE,1700.0,Automobile & Ancillaries,Tyres & Allied,Mid Cap,534.8,-0.13,15215000.0,2.16,0.36,0.47,11558300.0,7104300.0,0.61,-0.04,NewShort,"APOLLOTYRE,",43.33,2024-07-03,0.0286
Ultratech Cement Ltd.,ULTRACEMCO,100.0,Construction Materials,Cement & Construction Materials,Large Cap,11872.1,0.15,2539800.0,2.16,0.22,0.27,1431700.0,894400.0,0.62,-0.02,NewLong,"ULTRACEMCO,",47.22,2024-07-03,0.1081
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,125.0,Healthcare,Hospital & Healthcare Services,Large Cap,6192.7,1.56,2168625.0,2.05,0.44,0.25,636375.0,389875.0,0.61,0.0,NewLong,"APOLLOHOSP,",36.43,2024-07-03,0.009899999999999999
JSW Steel Ltd.,JSWSTEEL,675.0,Iron & Steel,Steel & Iron Products,Large Cap,950.4,1.29,17634375.0,1.99,0.53,0.6,5424300.0,4864725.0,0.9,-0.02,NewLong,"JSWSTEEL,",53.12,2024-07-03,0.006999999999999999
Multi Commodity Exchange Of India Ltd.,MCX,200.0,Finance,Finance - Stock Broking,Small Cap,3934.25,1.53,2732000.0,1.95,0.58,0.56,1370400.0,749000.0,0.55,0.03,NewLong,"MCX,",30.43,2024-07-03,0.0177
MRF Ltd.,MRF,5.0,Automobile & Ancillaries,Tyres & Allied,Mid Cap,128927.9,0.19,66110.0,1.93,0.66,0.81,17230.0,8390.0,0.49,0.03,NewLong,"MRF,",44.45,2024-07-03,0.023399999999999997
SRF Ltd.,SRF,375.0,Chemicals,Chemicals,Large Cap,2381.5,-0.51,4631250.0,1.92,0.95,1.14,2341125.0,1269000.0,0.54,0.01,NewShort,"SRF,",64.15,2024-07-03,0.031400000000000004
Britannia Industries Ltd.,BRITANNIA,200.0,Fast Moving Consumer Goods,Consumer Food,Large Cap,5449.1,0.88,2709400.0,1.91,0.89,0.7,549200.0,287600.0,0.52,-0.02,NewLong,"BRITANNIA,",44.92,2024-07-03,0.0182
Lupin Ltd.,LUPIN,425.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,1630.6,-0.13,7569250.0,1.88,0.87,0.72,2338350.0,1339600.0,0.57,-0.06,NewShort,"LUPIN,",47.68,2024-07-03,0.0695
Vedanta Ltd.,VEDL,2300.0,Non - Ferrous Metals,Metal - Non Ferrous,Large Cap,463.9,1.32,127714400.0,1.88,0.16,0.15,32114900.0,27135400.0,0.84,0.03,NewLong,"VEDL,",46.68,2024-07-03,0.016399999999999998
ABB India Ltd.,ABB,125.0,Capital Goods,Electric Equipment,Large Cap,8617.85,1.22,1450125.0,-1.82,0.63,0.45,617375.0,324125.0,0.53,0.02,ShortCover,"ABB,",35.26,2024-07-03,0.0233
Godrej Consumer Products Ltd.,GODREJCP,500.0,Fast Moving Consumer Goods,Household & Personal Products,Large Cap,1368.0,-0.23,5806000.0,1.81,0.25,0.2,1324500.0,732500.0,0.55,0.0,NewShort,"GODREJCP,",47.95,2024-07-03,0.0095
Persistent Systems Ltd.,PERSISTENT,200.0,Information Technology,IT - Software,Mid Cap,4593.4,2.04,2223200.0,1.77,0.68,0.46,1064400.0,1009600.0,0.95,0.0,NewLong,"PERSISTENT,",24.33,2024-07-03,0.0341
Aarti Industries Ltd.,AARTIIND,1000.0,Chemicals,Chemicals,Small Cap,714.4,0.48,12438000.0,-1.76,0.55,0.41,4553000.0,2478000.0,0.54,0.01,ShortCover,"AARTIIND,",33.54,2024-07-03,0.023700000000000002
Tata Power Company Ltd.,TATAPOWER,1350.0,Power,Power Generation/Distribution,Large Cap,433.85,0.25,97455150.0,1.76,0.84,0.89,30620700.0,19017450.0,0.62,-0.01,NewLong,"TATAPOWER,",57.22,2024-07-03,0.06849999999999999
Tata Steel Ltd.,TATASTEEL,5500.0,Iron & Steel,Steel & Iron Products,Large Cap,176.37,1.05,225665000.0,1.76,0.76,1.02,96008000.0,57178000.0,0.6,-0.02,NewLong,"TATASTEEL,",54.96,2024-07-03,0.0285
REC Ltd.,RECLTD,2000.0,Finance,Finance Term Lending,Large Cap,562.3,4.28,56634000.0,-1.73,1.63,1.17,28380000.0,19350000.0,0.68,0.09,AggressiveShortCover,"RECLTD,",28.23,2024-07-03,0.0364
NMDC Ltd.,NMDC,4500.0,Mining,Mining & Minerals,Mid Cap,251.22,2.81,96489000.0,-1.72,0.57,0.4,50404500.0,29038500.0,0.58,0.05,ShortCover,"NMDC,",38.08,2024-07-03,0.049100000000000005
