Stock Name,Symbol,Lot Size,Sector Name,Industry Name,MCap Category,Close,Chg %,Cumulative Future OI,OI Chg %,Volume (Times),Delivery (Times),Cumulative Call OI,Cumulative Put OI,Put Call Ratio (PCR),PCR Change 1D,OI Trend,Symbol with Comma for External Upload,%DlyQttoTradedQty,Date,Rollover
Interglobe Aviation Ltd.,INDIGO,300.0,Aviation,Airlines,Large Cap,4301.0,-1.09,5164500.0,1.05,0.64,0.66,1945200.0,1316700.0,0.68,0.0,NewShort,"INDIGO,",51.96,2024-06-06,0.0318
Aarti Industries Ltd.,AARTIIND,1000.0,Chemicals,Chemicals,Small Cap,638.15,1.46,10399000.0,1.04,0.73,0.66,4410000.0,2656000.0,0.6,-0.02,NewLong,"AARTIIND,",41.01,2024-06-06,0.0377
Samvardhana Motherson International Ltd.,MOTHERSON,7100.0,Automobile & Ancillaries,Auto Ancillary,Mid Cap,152.45,0.26,110021600.0,1.03,0.53,0.6,45851800.0,28740800.0,0.63,0.0,NewLong,"MOTHERSON,",49.98,2024-06-06,0.035
The Ramco Cements Ltd.,RAMCOCEM,850.0,Construction Materials,Cement & Construction Materials,Mid Cap,786.7,3.3,7939850.0,-1.03,2.35,1.84,2323050.0,1162800.0,0.5,0.06,AggressiveShortCover,"RAMCOCEM,",43.14,2024-06-06,0.0425
ABB India Ltd.,ABB,125.0,Capital Goods,Electric Equipment,Large Cap,7987.5,2.24,1176750.0,1.0,0.63,0.46,598750.0,289250.0,0.48,-0.02,NewLong,"ABB,",31.8,2024-06-06,0.0229
Glenmark Pharmaceuticals Ltd.,GLENMARK,725.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,1209.85,2.22,9828100.0,1.0,0.66,0.57,1384750.0,1095475.0,0.79,0.13,NewLong,"GLENMARK,",36.22,2024-06-06,0.0127
Tata Steel Ltd.,TATASTEEL,5500.0,Iron & Steel,Steel & Iron Products,Large Cap,172.05,1.68,207190500.0,-1.0,0.62,0.48,109538000.0,61633000.0,0.56,0.02,ShortCover,"TATASTEEL,",32.27,2024-06-06,0.0368
Infosys Ltd.,INFY,400.0,Information Technology,IT - Software,Large Cap,1472.25,2.95,49004000.0,0.99,0.79,0.67,17390400.0,7944800.0,0.46,0.02,NewLong,"INFY,",54.06,2024-06-06,0.0236
NMDC Ltd.,NMDC,4500.0,Mining,Mining & Minerals,Mid Cap,252.2,3.02,74308500.0,0.96,0.48,0.32,42579000.0,24246000.0,0.57,0.01,NewLong,"NMDC,",30.13,2024-06-06,0.04019999999999999
National Aluminium Company Ltd.,NATIONALUM,3750.0,Non - Ferrous Metals,Aluminium & Aluminium Products,Small Cap,180.6,2.53,75570000.0,-0.95,0.89,0.88,38137500.0,20782500.0,0.54,0.0,ShortCover,"NATIONALUM,",37.91,2024-06-06,0.050199999999999995
Bandhan Bank Ltd.,BANDHANBNK,2500.0,Banking,Bank - Private,Mid Cap,191.55,0.47,90706200.0,0.84,0.62,0.66,24356000.0,17711300.0,0.73,-0.01,NewLong,"BANDHANBNK,",44.81,2024-06-06,0.059500000000000004
Havells India Ltd.,HAVELLS,500.0,Capital Goods,Electric Equipment,Large Cap,1839.7,2.62,5555000.0,0.83,1.2,1.35,1874500.0,1295000.0,0.69,0.0,AggressiveNewLong,"HAVELLS,",59.25,2024-06-06,0.0235
ACC Ltd.,ACC,300.0,Construction Materials,Cement & Construction Materials,Mid Cap,2453.55,2.16,4805100.0,-0.82,0.59,0.62,1667400.0,1124100.0,0.67,-0.02,ShortCover,"ACC,",39.81,2024-06-06,0.0194
GAIL (India) Ltd.,GAIL,4575.0,Industrials Gases & Fuels,Industrial  Gases & Fuels,Large Cap,207.9,6.53,127345125.0,0.82,0.57,0.42,58701825.0,29156475.0,0.5,0.03,NewLong,"GAIL,",31.82,2024-06-06,0.057699999999999994
IDFC First Bank Ltd.,IDFCFIRSTB,7500.0,Banking,Bank - Private,Mid Cap,77.25,0.0,362775000.0,-0.82,0.47,0.47,142747500.0,76732500.0,0.54,-0.01,Neutral,"IDFCFIRSTB,",37.92,2024-06-06,0.0861
Bharti Airtel Ltd.,BHARTIARTL,475.0,Telecom,Telecommunication - Service  Provider,Large Cap,1370.6,1.95,40980625.0,0.81,0.73,0.58,14911200.0,5194125.0,0.35,0.0,NewLong,"BHARTIARTL,",49.39,2024-06-06,0.0105
Astral Ltd.,ASTRAL,367.0,Plastic Products,Plastic Products,Mid Cap,2149.3,1.56,2426237.0,0.78,0.54,0.51,1030169.0,452878.0,0.44,-0.03,NewLong,"ASTRAL,",51.06,2024-06-06,0.0144
The India Cements Ltd.,INDIACEM,2900.0,Construction Materials,Cement & Construction Materials,Small Cap,207.0,5.45,24464400.0,0.7,0.93,0.6,7107900.0,5385300.0,0.76,0.0,NewLong,"INDIACEM,",23.01,2024-06-06,0.0262
The Federal Bank Ltd.,FEDERALBNK,5000.0,Banking,Bank - Private,Mid Cap,164.55,-0.9,77785000.0,-0.69,0.52,0.58,36130000.0,20635000.0,0.57,-0.07,LongCover,"FEDERALBNK,",44.05,2024-06-06,0.044000000000000004
Godrej Consumer Products Ltd.,GODREJCP,500.0,Fast Moving Consumer Goods,Household & Personal Products,Large Cap,1402.15,-1.73,6299000.0,-0.66,0.66,0.62,1313500.0,1130500.0,0.86,0.01,LongCover,"GODREJCP,",55.45,2024-06-06,0.0086
Persistent Systems Ltd.,PERSISTENT,200.0,Information Technology,IT - Software,Mid Cap,3694.35,3.57,2495000.0,-0.66,0.39,0.27,606400.0,423200.0,0.7,0.05,ShortCover,"PERSISTENT,",37.06,2024-06-06,0.0273
Coal India Ltd.,COALINDIA,2100.0,Mining,Mining & Minerals,Large Cap,472.95,2.69,50635200.0,-0.64,0.99,0.75,42363300.0,21434700.0,0.51,0.01,ShortCover,"COALINDIA,",34.06,2024-06-06,0.0404
Hindustan Unilever Ltd.,HINDUNILVR,300.0,Fast Moving Consumer Goods,Household & Personal Products,Large Cap,2549.6,-2.04,18791700.0,0.64,0.75,0.6,9144600.0,5116500.0,0.56,-0.12,NewShort,"HINDUNILVR,",43.83,2024-06-06,0.015300000000000001
Hero MotoCorp Ltd.,HEROMOTOCO,150.0,Automobile & Ancillaries,Automobile Two & Three Wheelers,Mid Cap,5534.25,-2.2,3808500.0,-0.59,1.02,0.98,1492200.0,1131300.0,0.76,-0.23,LongCover,"HEROMOTOCO,",50.52,2024-06-06,0.0288
Container Corporation Of India Ltd.,CONCOR,1000.0,Logistics,Logistics,Mid Cap,1052.75,5.99,9458000.0,-0.54,0.65,0.44,6054000.0,3671000.0,0.61,0.13,ShortCover,"CONCOR,",32.04,2024-06-06,0.0562
REC Ltd.,RECLTD,2000.0,Finance,Finance Term Lending,Large Cap,490.1,6.66,61696000.0,-0.46,1.02,0.7,54968000.0,26598000.0,0.48,0.02,ShortCover,"RECLTD,",23.43,2024-06-06,0.0753
PVR Inox Ltd.,PVRINOX,407.0,Media & Entertainment,"Film Production, Distribution & Entertainment",Small Cap,1337.5,1.26,4301176.0,0.45,0.66,0.71,1835570.0,948310.0,0.52,-0.04,NewLong,"PVRINOX,",43.52,2024-06-06,0.0638
Voltas Ltd.,VOLTAS,600.0,Consumer Durables,Air Conditioners,Mid Cap,1449.55,-0.7,6544200.0,0.4,0.82,0.82,2486400.0,1578600.0,0.63,-0.1,NewShort,"VOLTAS,",39.25,2024-06-06,0.024399999999999998
Punjab National Bank,PNB,8000.0,Banking,Bank - Public,Large Cap,123.9,1.68,282920000.0,0.39,0.63,0.63,123264000.0,65520000.0,0.53,0.01,NewLong,"PNB,",37.02,2024-06-06,0.0564
United Breweries Ltd.,UBL,400.0,Alcohol,Breweries & Distilleries,Mid Cap,2035.6,0.94,1646400.0,-0.39,0.57,0.44,571200.0,460400.0,0.81,-0.01,ShortCover,"UBL,",29.81,2024-06-06,0.0182
